sku,description,pkg,price,section,page,medlineBrand,rawLine
"1005","Bath Safety Equipment Medline Rubber Bath Mat Durable, heavyweight natural rubber with slip-resistant suction cups. Machine washable. White. 13.4” x 29”.","1 Ct","$15.00","Mobility","17","true","Bath Safety Equipment Medline Rubber Bath Mat Durable, heavyweight natural rubber with slip-resistant suction cups. Machine washable. White. 13.4” x 29”. 1 Ct 1005 $15.00"
"1030","Dr. Sheffield’s 12Hr Nasal Decongestant Spray 1oz. 0.05% oxymetazoline. Compare to the active ingredient in Afrin.","1 Ct","$5.00","Allergy & Sinus","12","false","Dr. Sheffield’s 12Hr Nasal Decongestant Spray 1oz. 0.05% oxymetazoline. Compare to the active ingredient in Afrin. 1 Ct 1030 $5.00"
"1034","GoodSense Sore Throat Lozenges Compare to the active ingredients in Cepacol. Cherry flavor.","18 Ct","$5.00","Allergy & Sinus","13","false","GoodSense Sore Throat Lozenges Compare to the active ingredients in Cepacol. Cherry flavor. 18 Ct 1034 $5.00"
"1046","Medi-First Antiseptic Spray 2 oz. Helps prevent infection. 0.1% benzalkonium chloride, 5.0% benzocaine.","2 Oz","$8.00","Antibiotics & Antiseptics","6","false","Medi-First Antiseptic Spray 2 oz. Helps prevent infection. 0.1% benzalkonium chloride, 5.0% benzocaine. 2 Oz 1046 $8.00"
"1057","CURAD FlexSEAL Spray Bandage 1.35 oz. Water-resistant transparent film seals out germs.","1.35 Oz","$10.00","Bandages","7","false","CURAD FlexSEAL Spray Bandage 1.35 oz. Water-resistant transparent film seals out germs. 1.35 Oz 1057 $10.00"
"1060","CURAD Silicone Flex Fabric Bandages Holds tight yet gentle enough for sensitive or delicate skin. 0.75” x 3”.","20 Ct","$5.00","Bandages","7","false","CURAD Silicone Flex Fabric Bandages Holds tight yet gentle enough for sensitive or delicate skin. 0.75” x 3”. 20 Ct 1060 $5.00"
"1067","GoodSense Epsom Salt 16 oz. Use in bath to help relax muscles. Unscented.","1 Ct","$5.00","Skin Care + Hair Care","25","false","GoodSense Epsom Salt 16 oz. Use in bath to help relax muscles. Unscented. 1 Ct 1067 $5.00"
"1071","Medline Spectrum Advanced Hand Sanitizer Wipes 70% ethyl alcohol to sanitize hands plus aloe and vitamin E to soothe skin. Fragrance-free. 6” x 6.75”.","160 Ct","$10.00","Foot Care","22","true","Medline Spectrum Advanced Hand Sanitizer Wipes 70% ethyl alcohol to sanitize hands plus aloe and vitamin E to soothe skin. Fragrance-free. 6” x 6.75”. 160 Ct 1071 $10.00"
"1083","CURAD Triple Antibiotic Ointment 1 oz. Helps promote healing in minor cuts, scrapes, burns.","1 Oz","$6.00","Antibiotics & Antiseptics","6","false","CURAD Triple Antibiotic Ointment 1 oz. Helps promote healing in minor cuts, scrapes, burns. 1 Oz 1083 $6.00"
"1087","Measuring Devices Conair Digital Food Scale Sleek, glass top design with large LCD. 11 lb. capacity.","1 Ct","$25.00","Home Diagnostics","8","false","Measuring Devices Conair Digital Food Scale Sleek, glass top design with large LCD. 11 lb. capacity. 1 Ct 1087 $25.00"
"1119","Medline Pro Plus Best Polymer Underpads Disposable, all-purpose pad with absorbent SAP polymer core. 23” x 36”.","10 Ct","$5.00","Underpads","11","true","Medline Pro Plus Best Polymer Underpads Disposable, all-purpose pad with absorbent SAP polymer core. 23” x 36”. 10 Ct 1119 $5.00"
"1152","Medtech Oral BrushPicks Safely and gently removes plaque and food stuck in teeth.","275 Ct","$6.00","Oral Care","23","false","Medtech Oral BrushPicks Safely and gently removes plaque and food stuck in teeth. 275 Ct 1152 $6.00"
"1157","GoodSense Mint Flossers Slides easily between teeth for one-handed flossing.","90 Ct","$5.00","Oral Care","23","false","GoodSense Mint Flossers Slides easily between teeth for one-handed flossing. 90 Ct 1157 $5.00"
"1162","Super Poligrip Denture Adhesive Cream 2.4 oz. Strong all-day hold. Zinc-free original formula.","1 Ct","$13.00","Oral Care","23","false","Super Poligrip Denture Adhesive Cream 2.4 oz. Strong all-day hold. Zinc-free original formula. 1 Ct 1162 $13.00"
